seed,alpha,rms_gospa,rms_missed,rms_false,final_birth_atoms,spurious_birth_atoms,birth_region_error
0,1.0,7.0189307900024005,6.692657668420421,2.041241452319315,2,0,18.813154726184226
0,2.0,7.0189307900024005,6.692657668420421,2.041241452319315,2,0,18.813154726184226
0,5.0,4.745748796557012,3.75,2.7950849718747373,5,0,1.416707089134855
0,10.0,4.410168889643392,3.1457643480294792,2.886751345948129,7,0,1.4845646730044104
0,20.0,4.528675206451863,3.227486121839514,2.9755951785595207,7,0,1.5261390012396185
1,1.0,6.9431453715404094,6.653633092779714,1.9094065395649333,1,0,25.652204316603253
1,2.0,7.089677616594422,6.7700320038633,2.041241452319315,2,0,16.9015218590239
1,5.0,4.027958328023568,2.7950849718747373,2.6020824993326657,4,0,1.4082314683570032
1,10.0,4.055996554585553,2.6020824993326657,2.9755951785595207,6,0,1.0405104884566603
1,20.0,4.18537729039325,2.6020824993326657,3.1457643480294792,10,0,1.1854313349449321
2,1.0,9.202170720477172,9.128709291752768,1.0206207261596576,4,0,19.137759819938502
2,2.0,7.1372194315886075,6.884463184107628,1.7677669529663689,2,0,19.365704472893444
2,5.0,4.525279696777017,3.75,2.3935677693908453,6,0,1.5692554227867659
2,10.0,3.8967737269666443,3.0618621784789726,2.282177322938192,5,0,1.0507974793318948
2,20.0,4.217702235322473,3.0618621784789726,2.7950849718747373,9,0,1.0507974793318948
3,1.0,7.208057710374501,6.959705453537527,1.7677669529663689,1,0,25.530619460589087
3,2.0,5.166369793104442,4.621056877670591,2.165063509461097,2,0,2.540151762120188
3,5.0,4.170126382536603,2.9755951785595207,2.7950849718747373,6,0,0.6702439694132069
3,10.0,3.900643847266653,2.6020824993326657,2.7950849718747373,6,0,0.6250129852956987
3,20.0,4.159285382128924,2.7003086243366083,3.0618621784789726,7,0,0.6704407474400039
4,1.0,6.917600021057809,6.653633092779714,1.7677669529663689,1,0,25.500662579231975
4,2.0,6.957256583073215,6.653633092779714,1.9094065395649333,2,0,22.63246706832597
4,5.0,4.251094814378418,3.0618621784789726,2.7950849718747373,6,0,1.9505858919209147
4,10.0,4.311918419238519,3.0618621784789726,2.886751345948129,7,0,1.9505858919209147
4,20.0,4.601335055424619,3.0618621784789726,3.307189138830738,11,0,1.9505858919209147
5,1.0,7.217920604022989,6.922186552431729,1.9094065395649333,1,0,25.495099618201422
5,2.0,7.253910061429831,6.922186552431729,2.041241452319315,2,0,18.569185498376818
5,5.0,4.657414520727611,3.679900360969936,2.7003086243366083,4,0,2.0653990008199052
5,10.0,4.70735243658461,3.608439182435161,2.886751345948129,5,0,2.20006624146657
5,20.0,5.067767197396808,3.608439182435161,3.4610932762158644,10,0,2.20006624146657
6,1.0,6.955773685507013,6.692657668420421,1.7677669529663689,1,0,25.550971207366167
6,2.0,4.346923198376615,3.5355339059327378,2.3935677693908453,2,0,1.3814131661347382
6,5.0,3.9719462187379233,2.9755951785595207,2.5,3,0,1.0099396439751667
6,10.0,4.281879235133671,3.227486121839514,2.7003086243366083,5,0,1.4995542036033123
6,20.0,4.2840351443129405,2.9755951785595207,2.9755951785595207,8,0,1.1939509821517835
7,1.0,7.134340449472885,6.959705453537527,1.4433756729740645,1,0,25.548310001395325
7,2.0,4.4704743083804095,3.886407938787006,2.041241452319315,2,0,2.150376780293992
7,5.0,4.580467577584809,4.018187817080398,2.041241452319315,3,0,2.0489548310290835
7,10.0,4.709097550313721,3.952847075210474,2.3935677693908453,6,0,2.0489548310290835
7,20.0,4.651286548161334,3.679900360969936,2.7003086243366083,9,0,0.9321195734006911
8,1.0,6.980867892424234,6.73145600891813,1.7677669529663689,3,0,13.890576503010884
8,2.0,6.980867892424234,6.73145600891813,1.7677669529663689,3,0,13.890576503010884
8,5.0,4.397890541840941,3.679900360969936,2.282177322938192,4,0,1.0390049712791072
8,10.0,4.504452187566478,3.75,2.3935677693908453,5,0,1.1287821528286723
8,20.0,4.733130309138151,3.4610932762158644,3.1457643480294792,11,0,1.1287821528286723
9,1.0,6.979194038502443,6.653633092779714,2.041241452319315,3,0,1.802442538039692
9,2.0,6.979194038502443,6.653633092779714,2.041241452319315,3,0,1.802442538039692
9,5.0,5.237963723014286,4.269562819149833,2.7950849718747373,8,1,1.4895480352170627
9,10.0,5.26092905582703,4.208127057650866,3.0618621784789726,11,1,1.4895480352170627
