seed,tracker,scans,total_births,total_confirmed_births,rms_gospa,rms_localization,rms_missed,rms_false,early_rms_gospa,late_rms_gospa,mean_cardinality_error,mean_false_targets,mean_missed_targets,final_birth_atoms,recurrent_birth_atoms,spurious_birth_atoms,birth_region_error,runtime_seconds
0,fixed_broad_birth,96,219,0,4.585881280058569,1.1129422483331985,2.886751345948129,3.38501600193165,4.919206655202508,4.4097804496248,0.3958333333333333,0.22916666666666666,0.16666666666666666,0,0,0,nan,0.15473866369575262
0,measurement_driven_birth,96,556,0,4.462307123741138,0.8008442627986904,3.608439182435161,2.5,4.221394890089072,4.578011565172297,0.3854166666666667,0.125,0.2604166666666667,0,0,0,nan,0.17292442172765732
0,dp_immediate,96,32,0,7.134975074067077,0.6221221537810405,6.614378277661476,2.6020824993326657,6.999295046937029,7.201856592872363,0.8229166666666666,0.13541666666666666,0.875,9,7,6,8.004297944775915,0.16689646895974874
0,dp_delayed_append,96,81,18,4.533774670264347,1.13326052935645,3.307189138830738,2.886751345948129,4.90698368902708,4.335138369061244,0.3854166666666667,0.16666666666666666,0.21875,18,0,0,1.1057999423123595,0.21967615885660052
0,dp_delayed_recluster,96,78,17,4.410168889643392,1.1047275539750812,3.1457643480294792,2.886751345948129,4.90698368902708,4.139461316473285,0.3645833333333333,0.16666666666666666,0.19791666666666666,7,2,0,1.4845646730044104,0.1599395559169352
0,oracle_birth,96,24,0,3.6144709924332297,0.7512659683103288,2.6020824993326657,2.3935677693908453,3.3938321819337482,3.719886072603204,0.25,0.11458333333333333,0.13541666666666666,2,2,0,0.0,0.08012888301163912
1,fixed_broad_birth,96,224,0,4.992007605521572,0.9807173906135632,3.0618621784789726,3.8188130791298667,4.319861657272365,5.2961880188860215,0.3541666666666667,0.2916666666666667,0.1875,0,0,0,nan,0.1666532619856298
1,measurement_driven_birth,96,591,0,4.7057657951862994,0.8888560358565818,3.8188130791298667,2.6020824993326657,3.9067154000618274,5.0581750632197275,0.40625,0.13541666666666666,0.2916666666666667,0,0,0,nan,0.18168948497623205
1,dp_immediate,96,29,0,7.3548093950005775,0.9839823356080948,7.0710678118654755,1.7677669529663689,6.279740897769601,7.837235417136776,0.9375,0.0625,1.0,12,7,5,12.723146191150473,0.22786650573834777
1,dp_delayed_append,96,85,16,4.185259097914327,0.9218064059269601,2.7950849718747373,2.9755951785595207,3.922459726139309,4.3106548717589925,0.3125,0.17708333333333334,0.15625,16,0,0,0.40137463884891345,0.23051539482548833
1,dp_delayed_recluster,96,86,16,4.055996554585553,0.9089048634537465,2.6020824993326657,2.9755951785595207,3.922459726139309,4.121142672199348,0.2916666666666667,0.17708333333333334,0.13541666666666666,6,2,0,1.0405104884566603,0.16907779406756163
1,oracle_birth,96,24,0,3.696051304965085,0.7999761968963666,2.6020824993326657,2.5,3.2017140878285573,3.9199115198306758,0.23958333333333334,0.125,0.13541666666666666,2,2,0,0.0,0.084785764105618
2,fixed_broad_birth,96,208,0,4.787644669874861,0.7250573436962305,3.1457643480294792,3.5355339059327378,4.888775335082789,4.736269638546229,0.3229166666666667,0.25,0.19791666666666666,0,0,0,nan,0.14558878913521767
2,measurement_driven_birth,96,546,0,4.833783762236128,0.6699244684223633,4.14578098794425,2.3935677693908453,5.4796060122658465,4.476064919687434,0.4166666666666667,0.11458333333333333,0.34375,0,0,0,nan,0.1666043591685593
2,dp_immediate,96,33,0,7.16448782948911,0.5368604960610445,6.846531968814577,2.041241452319315,6.866857833942776,7.308759165039968,0.875,0.08333333333333333,0.9375,10,9,8,9.946249093663992,0.18480742303654552
2,dp_delayed_append,96,72,15,3.968548220354913,0.8032485982654958,3.1457643480294792,2.282177322938192,4.382826856133948,3.74425918447144,0.28125,0.10416666666666667,0.19791666666666666,15,0,0,0.6915440120175919,0.20050101820379496
2,dp_delayed_recluster,96,72,15,3.8967737269666443,0.7755721409670289,3.0618621784789726,2.282177322938192,4.382826856133948,3.6294190435029376,0.2708333333333333,0.10416666666666667,0.1875,5,2,0,1.0507974793318948,0.1458808802999556
2,oracle_birth,96,19,0,3.590617557561205,0.626525693540811,2.886751345948129,2.041241452319315,3.5894585729778794,3.5911969095885,0.25,0.08333333333333333,0.16666666666666666,2,2,0,0.0,0.07545202085748315
3,fixed_broad_birth,96,210,0,4.409958060348052,1.1038856042915361,2.7003086243366083,3.307189138830738,4.1996493849801,4.511437427545823,0.34375,0.21875,0.14583333333333334,0,0,0,nan,0.14530222583562136
3,measurement_driven_birth,96,521,0,4.272486273606014,0.7387865894955525,3.608439182435161,2.165063509461097,3.800702554958322,4.489826108168817,0.3541666666666667,0.09375,0.2604166666666667,0,0,0,nan,0.16043587494641542
3,dp_immediate,96,29,0,7.014449308998504,0.874642274595497,6.73145600891813,1.7677669529663689,6.721343522387177,7.156501889177166,0.84375,0.0625,0.90625,14,6,4,2.4762082683650997,0.21530880592763424
