seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
100,6,16,fixed_broad_birth,5.09411719219352,3.5355339059327378,3.5355339059327378
100,6,16,measurement_driven_birth,5.519024844320911,4.5069390943299865,3.0618621784789726
100,6,16,dp_delayed_recluster,4.827180841261584,3.679900360969936,2.9755951785595207
100,8,12,fixed_broad_birth,5.162762367071037,3.0618621784789726,4.08248290463863
100,8,12,measurement_driven_birth,4.841548824606047,3.952847075210474,2.7003086243366083
100,8,12,dp_delayed_recluster,4.762873984130701,3.608439182435161,2.9755951785595207
100,12,8,fixed_broad_birth,3.9312007797760855,2.7950849718747373,2.7003086243366083
100,12,8,measurement_driven_birth,3.991167163558856,3.38501600193165,2.041241452319315
100,12,8,dp_delayed_recluster,3.369661506213508,2.6020824993326657,2.041241452319315
100,16,6,fixed_broad_birth,3.817907449309196,1.7677669529663689,3.307189138830738
100,16,6,measurement_driven_birth,3.120012322498105,2.5,1.7677669529663689
100,16,6,dp_delayed_recluster,3.603057833288783,2.6020824993326657,2.3935677693908453
101,6,16,fixed_broad_birth,5.315172022147769,3.608439182435161,3.608439182435161
101,6,16,measurement_driven_birth,5.325580622046293,4.621056877670591,2.5
101,6,16,dp_delayed_recluster,4.345551125550422,3.38501600193165,2.3935677693908453
101,8,12,fixed_broad_birth,4.970210702119444,3.227486121839514,3.679900360969936
101,8,12,measurement_driven_birth,4.904567040858682,4.018187817080398,2.7003086243366083
101,8,12,dp_delayed_recluster,4.70825544266662,3.679900360969936,2.7950849718747373
101,12,8,fixed_broad_birth,3.681538750330432,2.282177322938192,2.7950849718747373
101,12,8,measurement_driven_birth,3.982895644290212,3.227486121839514,2.165063509461097
101,12,8,dp_delayed_recluster,3.297561380288548,2.6020824993326657,1.9094065395649333
101,16,6,fixed_broad_birth,4.05171059243533,2.165063509461097,3.38501600193165
101,16,6,measurement_driven_birth,3.6400367184405895,2.7950849718747373,2.282177322938192
101,16,6,dp_delayed_recluster,3.592244415067064,2.282177322938192,2.7003086243366083
102,6,16,fixed_broad_birth,5.875153946865976,4.08248290463863,4.018187817080398
102,6,16,measurement_driven_birth,5.692278510176279,4.947642536265799,2.7003086243366083
102,6,16,dp_delayed_recluster,4.989781926750944,3.608439182435161,3.307189138830738
102,8,12,fixed_broad_birth,4.651702951647822,3.307189138830738,3.1457643480294792
102,8,12,measurement_driven_birth,5.040581233191282,4.269562819149833,2.6020824993326657
102,8,12,dp_delayed_recluster,4.077550525794053,3.227486121839514,2.3935677693908453
102,12,8,fixed_broad_birth,3.6631204409931897,2.5,2.6020824993326657
102,12,8,measurement_driven_birth,3.8554285171713434,3.38501600193165,1.7677669529663689
