seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
20,6,16,fixed_broad_birth,4.924913771990931,3.679900360969936,3.1457643480294792
20,6,16,measurement_driven_birth,5.269400511082741,4.621056877670591,2.3935677693908453
20,6,16,dp_delayed_recluster,4.469061009979971,3.5355339059327378,2.6020824993326657
20,8,12,fixed_broad_birth,5.238262775586336,3.5355339059327378,3.679900360969936
20,8,12,measurement_driven_birth,4.853944403128528,4.14578098794425,2.3935677693908453
20,8,12,dp_delayed_recluster,4.508973904937947,3.38501600193165,2.7950849718747373
20,12,8,fixed_broad_birth,4.0682190051413105,3.0618621784789726,2.6020824993326657
20,12,8,measurement_driven_birth,3.7916873508200233,3.307189138830738,1.7677669529663689
20,12,8,dp_delayed_recluster,3.8677920629009237,3.1457643480294792,2.165063509461097
20,16,6,fixed_broad_birth,3.8608552280687376,2.165063509461097,3.1457643480294792
20,16,6,measurement_driven_birth,3.1914845251067456,2.7003086243366083,1.613743060919757
20,16,6,dp_delayed_recluster,3.431636072699542,1.9094065395649333,2.7950849718747373
21,6,16,fixed_broad_birth,5.665592885703178,4.269562819149833,3.38501600193165
21,6,16,measurement_driven_birth,5.777612625542132,5.0518148554092255,2.5
21,6,16,dp_delayed_recluster,5.3476188941922365,4.269562819149833,2.7950849718747373
21,8,12,fixed_broad_birth,5.454656389444169,4.08248290463863,3.4610932762158644
21,8,12,measurement_driven_birth,5.443309968444305,4.894725051862804,2.282177322938192
21,8,12,dp_delayed_recluster,4.7281104688811935,3.952847075210474,2.5
21,12,8,fixed_broad_birth,5.146248881489048,2.7003086243366083,4.330127018922194
21,12,8,measurement_driven_birth,3.799122828899234,3.1457643480294792,2.041241452319315
21,12,8,dp_delayed_recluster,3.66180392798654,2.7003086243366083,2.3935677693908453
21,16,6,fixed_broad_birth,4.9773837417241875,2.886751345948129,4.018187817080398
21,16,6,measurement_driven_birth,3.988190030335505,3.227486121839514,2.282177322938192
21,16,6,dp_delayed_recluster,4.2983682466227116,2.886751345948129,3.1457643480294792
22,6,16,fixed_broad_birth,5.255053510906498,4.08248290463863,3.1457643480294792
22,6,16,measurement_driven_birth,5.626204215125516,4.894725051862804,2.6020824993326657
22,6,16,dp_delayed_recluster,4.733176564069908,3.8188130791298667,2.6020824993326657
22,8,12,fixed_broad_birth,5.089066172554494,3.1457643480294792,3.8188130791298667
22,8,12,measurement_driven_birth,4.962949893004128,4.14578098794425,2.6020824993326657
22,8,12,dp_delayed_recluster,4.545639179409123,2.9755951785595207,3.307189138830738
22,12,8,fixed_broad_birth,4.079528164578887,2.7003086243366083,2.9755951785595207
22,12,8,measurement_driven_birth,3.8725985314953077,3.38501600193165,1.7677669529663689
22,12,8,dp_delayed_recluster,3.7388511756266314,2.7003086243366083,2.5
22,16,6,fixed_broad_birth,4.606106927131552,2.6020824993326657,3.75
22,16,6,measurement_driven_birth,3.8631910117831367,3.227486121839514,2.041241452319315
22,16,6,dp_delayed_recluster,4.362669340649636,3.227486121839514,2.886751345948129
23,6,16,fixed_broad_birth,5.315289401576402,3.1457643480294792,4.14578098794425
23,6,16,measurement_driven_birth,5.401807105179978,4.389855730355308,2.9755951785595207
23,6,16,dp_delayed_recluster,4.604059538150931,3.1457643480294792,3.227486121839514
23,8,12,fixed_broad_birth,4.959198407789891,3.75,3.1457643480294792
23,8,12,measurement_driven_birth,5.256027784445695,4.5069390943299865,2.6020824993326657
23,8,12,dp_delayed_recluster,4.747946966765463,3.952847075210474,2.5
23,12,8,fixed_broad_birth,4.009690685158341,2.3935677693908453,3.1457643480294792
23,12,8,measurement_driven_birth,3.937239025974419,3.227486121839514,2.165063509461097
23,12,8,dp_delayed_recluster,3.4545529498330434,2.3935677693908453,2.3935677693908453
23,16,6,fixed_broad_birth,4.010862102137484,2.282177322938192,3.227486121839514
23,16,6,measurement_driven_birth,3.867550860128284,2.9755951785595207,2.3935677693908453
23,16,6,dp_delayed_recluster,3.578004959253386,2.5,2.5
24,6,16,fixed_broad_birth,5.514560861421424,3.8188130791298667,3.679900360969936
24,6,16,measurement_driven_birth,5.643353806982013,4.7871355387816905,2.7003086243366083
24,6,16,dp_delayed_recluster,4.742423041189568,3.5355339059327378,2.886751345948129
24,8,12,fixed_broad_birth,4.749127189161057,3.0618621784789726,3.5355339059327378
24,8,12,measurement_driven_birth,4.8479951313971155,3.952847075210474,2.7003086243366083
24,8,12,dp_delayed_recluster,4.284813055849261,2.886751345948129,3.0618621784789726
24,12,8,fixed_broad_birth,4.4529512100271225,2.6020824993326657,3.5355339059327378
24,12,8,measurement_driven_birth,4.1975982709894355,3.38501600193165,2.3935677693908453
24,12,8,dp_delayed_recluster,4.589125665159817,3.38501600193165,2.9755951785595207
24,16,6,fixed_broad_birth,3.5772312294652746,1.9094065395649333,2.9755951785595207
24,16,6,measurement_driven_birth,3.350776355171757,2.5,2.165063509461097
24,16,6,dp_delayed_recluster,2.862488144330716,1.9094065395649333,2.041241452319315
25,6,16,fixed_broad_birth,5.617380346934831,3.679900360969936,4.14578098794425
25,6,16,measurement_driven_birth,5.606905204907721,4.677071733467427,2.9755951785595207
25,6,16,dp_delayed_recluster,4.768499208646719,3.38501600193165,3.227486121839514
25,8,12,fixed_broad_birth,4.649027608813883,3.227486121839514,3.1457643480294792
25,8,12,measurement_driven_birth,4.468676367702102,3.8188130791298667,2.165063509461097
25,8,12,dp_delayed_recluster,3.9092715646558918,2.9755951785595207,2.3935677693908453
25,12,8,fixed_broad_birth,3.5963582091197073,2.165063509461097,2.6020824993326657
25,12,8,measurement_driven_birth,3.8774124864294204,3.227486121839514,2.041241452319315
25,12,8,dp_delayed_recluster,3.4751154092556686,2.6020824993326657,2.165063509461097
25,16,6,fixed_broad_birth,4.427276783246758,3.38501600193165,2.7950849718747373
25,16,6,measurement_driven_birth,4.363512391434261,3.886407938787006,1.9094065395649333
