seed,tracker,total_births,final_estimated_tracks,final_active_tracks,hotspot_track_steps,final_birth_atoms,final_clutter_atoms
0,fixed_scalar_clutter,20,3,4,74,5,0
0,fixed_gmm_clutter,9,1,2,0,9,0
0,adaptive_dp_clutter,12,0,1,0,11,2
1,fixed_scalar_clutter,24,2,3,84,6,0
1,fixed_gmm_clutter,8,1,2,0,7,0
1,adaptive_dp_clutter,7,1,2,0,6,2
2,fixed_scalar_clutter,24,6,7,75,7,0
2,fixed_gmm_clutter,11,2,2,0,10,0
2,adaptive_dp_clutter,15,2,3,0,12,3
3,fixed_scalar_clutter,22,5,5,79,11,0
3,fixed_gmm_clutter,11,2,2,0,10,0
3,adaptive_dp_clutter,15,2,3,0,12,7
4,fixed_scalar_clutter,20,5,7,92,8,0
4,fixed_gmm_clutter,11,3,3,0,11,0
4,adaptive_dp_clutter,11,3,3,0,9,1
5,fixed_scalar_clutter,19,3,5,76,7,0
5,fixed_gmm_clutter,7,2,2,0,7,0
5,adaptive_dp_clutter,7,2,2,0,6,5
6,fixed_scalar_clutter,15,3,4,70,5,0
6,fixed_gmm_clutter,11,2,3,0,9,0
6,adaptive_dp_clutter,11,2,3,0,8,1
7,fixed_scalar_clutter,27,9,9,93,7,0
7,fixed_gmm_clutter,13,2,2,0,11,0
7,adaptive_dp_clutter,13,2,2,0,10,5
8,fixed_scalar_clutter,18,2,4,64,5,0
8,fixed_gmm_clutter,10,1,1,0,9,0
8,adaptive_dp_clutter,12,1,2,0,11,1
9,fixed_scalar_clutter,16,3,3,62,6,0
9,fixed_gmm_clutter,10,2,2,0,9,0
9,adaptive_dp_clutter,9,2,2,0,9,5
10,fixed_scalar_clutter,20,4,4,79,7,0
10,fixed_gmm_clutter,11,2,2,0,10,0
10,adaptive_dp_clutter,13,2,2,0,10,2
11,fixed_scalar_clutter,17,2,2,71,7,0
11,fixed_gmm_clutter,8,1,1,0,8,0
11,adaptive_dp_clutter,10,1,1,0,9,3
12,fixed_scalar_clutter,23,5,5,82,8,0
12,fixed_gmm_clutter,12,2,3,0,10,0
12,adaptive_dp_clutter,14,2,3,0,10,5
13,fixed_scalar_clutter,15,4,5,73,5,0
13,fixed_gmm_clutter,10,2,3,0,8,0
13,adaptive_dp_clutter,13,2,4,0,8,4
14,fixed_scalar_clutter,28,6,7,76,6,0
14,fixed_gmm_clutter,14,2,2,0,12,0
14,adaptive_dp_clutter,14,2,2,0,10,1
15,fixed_scalar_clutter,18,5,6,79,4,0
15,fixed_gmm_clutter,10,2,2,0,10,0
15,adaptive_dp_clutter,12,2,2,0,10,2
16,fixed_scalar_clutter,19,3,3,80,9,0
16,fixed_gmm_clutter,11,2,3,0,11,0
16,adaptive_dp_clutter,13,2,3,0,11,4
17,fixed_scalar_clutter,16,4,4,67,4,0
17,fixed_gmm_clutter,10,2,2,0,8,0
17,adaptive_dp_clutter,11,2,2,0,8,2
18,fixed_scalar_clutter,33,7,9,85,9,0
18,fixed_gmm_clutter,15,3,3,0,12,0
18,adaptive_dp_clutter,15,3,3,0,12,3
19,fixed_scalar_clutter,24,6,8,78,7,0
19,fixed_gmm_clutter,13,3,3,0,11,0
19,adaptive_dp_clutter,12,2,3,0,9,2
